Instance_name,Valid Solution,Best cost,Last update iteration,Last update time,Final iteration,Final time,Num edges cut
instance001,yes,2142,1,0.157174s,3816,600.097s,101
instance002,yes,727,1,1.06306s,519,600.148s,140
instance003,yes,131690,1,0.271672s,2471,600.185s,156
instance004,yes,146550,1,0.599948s,1076,600.361s,213
instance005,yes,8.26617e+08,1,2.2785s,260,601.621s,187
instance006,yes,142069,1,6.10955s,102,600.07s,404
instance007,yes,26158,1,2.45893s,243,600.45s,213
instance008,yes Q,26629,1,2.77053s,223,601.01s,221
instance009,yes,9.67427e+07,1,2.60666s,227,600.032s,218
instance010,yes,27532,1,2.76029s,220,601.079s,219
instance011,yes,24197,1,2.76347s,217,602.49s,217
instance015,yes,3048,1,0.388112s,1672,600.22s,159
instance016,yes,163647,1,1.6371s,376,601.444s,201
instance017,yes,8.75379e+07,1,2.5006s,238,601.043s,207
instance018,yes,92650,1,4.07942s,148,603.423s,310
instance019,yes,8.98719e+07,1,2.79068s,216,602.454s,224
instance020,yes,9.30961e+07,1,2.96027s,196,600.518s,229
instance021,yes,241550,1,4.05779s,150,600.8s,497
