instance,search_count,cost_60,time_60,iterations_60,cost_opt,time_opt,iterations_opt
N1280K80M4N1,1,27350.0,61999.003881,37,17519.0,631283.0,134
N1280K80M4N1,2,19394.0,62475.288399,8,17515.0,612404.0,75
N1280K80M4N1,3,18834.0,61169.341043,24,17522.0,486644.0,97
N1280K80M4N2,1,25539.0,61370.62765,42,17512.0,616722.0,129
N1280K80M4N2,2,19175.0,64597.133667,16,17507.0,418841.0,76
N1280K80M4N2,3,18662.0,62293.320989,26,17502.0,593775.0,83
N1280K80M4N3,1,26802.0,61450.630354,41,18212.0,641355.0,133
N1280K80M4N3,2,19763.0,61684.685269,9,18198.0,574142.0,75
N1280K80M4N3,3,19533.0,60816.40359,24,18198.0,561746.0,92
N1280K80M4N4,1,25852.0,61220.452203,42,17956.0,582702.0,136
N1280K80M4N4,2,19645.0,60332.061768,10,17947.0,466306.0,83
N1280K80M4N4,3,19234.0,61108.522536,25,17956.0,474667.0,91
N1280K80M4N5,1,26451.0,60584.497978,41,18413.0,645924.0,136
N1280K80M4N5,2,20184.0,61513.854486,8,18404.0,574583.0,79
N1280K80M4N5,3,19629.0,61989.035222,24,18409.0,657486.0,93
N2560K160M4N2,1,61635.0,60723.020687,14,52167.0,605298.0,92
N2560K160M4N2,2,39524.0,69259.458918,2,39246.0,602264.0,20
N2560K160M4N2,3,40260.0,61456.965936,7,38540.0,600311.0,58
N2560K160M4N3,1,59733.0,60817.645533,13,51110.0,602806.0,87
N2560K160M4N3,2,38471.0,80654.216111,3,38217.0,607769.0,26
N2560K160M4N3,3,39125.0,64445.544278,8,37545.0,613730.0,55
N2560K160M4N4,1,61277.0,65209.719346,14,52610.0,600893.0,84
N2560K160M4N4,2,39959.0,63009.302747,4,39729.0,609913.0,27
N2560K160M4N4,3,40837.0,60648.502937,5,38907.0,607618.0,53
N2560K160M4N5,1,61303.0,61466.004583,13,52007.0,606120.0,91
N2560K160M4N5,2,39788.0,124541.593643,4,39397.0,619114.0,27
N2560K160M4N5,3,40288.0,60863.857841,9,38604.0,624581.0,52
N5120K320M4N1,1,122604.0,64179.812192,5,119343.0,606267.0,29
N5120K320M4N1,2,77558.0,220041.732633,2,77543.0,1433408.0,4
N5120K320M4N1,3,79840.0,98702.10223,4,79246.0,618868.0,17
N5120K320M4N2,1,124891.0,69850.92969,4,122020.0,623295.0,28
N5120K320M4N2,2,79672.0,171085.235381,2,79638.0,775670.0,4
N5120K320M4N2,3,80838.0,96256.83328,2,80385.0,642827.0,14
