Instance,Cplex,Simplex,Isolation,Local Search,Calinescu,Exponential Clocks,Buchbinder,Single Threshold 1,Single Threshold 2,Descending Threshold 1,Descending Threshold 2,Independent Threshold,3-Ingredient Mix,4-Ingredient Mix
N160K20M4N1,2152.0,2152.0,2509.0,2157.8,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0
N160K20M4N2,2033.0,2033.0,2331.0,2041.6,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0
N160K20M4N3,1867.0,1867.0,2118.0,1879.6,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0
N160K20M4N4,2006.0,2006.0,2435.0,2011.8,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0
N160K20M4N5,2069.0,2069.0,2411.0,2078.4,2069.0,2069.0,2069.0,2069.0,2069.0,2069.0,2069.0,2069.0,2069.0,2069.0
N320K40M4N1,4182.0,4182.0,5007.0,4187.0,4182.0,4182.0,4182.0,4182.0,4182.0,4182.0,4182.0,4182.0,4182.0,4182.0
N320K40M4N2,4001.0,4001.0,4857.0,4021.6,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0
N320K40M4N3,4459.0,4459.0,5462.0,4466.6,4459.0,4459.0,4459.0,4459.0,4459.0,4459.0,4459.0,4459.0,4459.0,4459.0
N320K40M4N4,3935.0,3935.0,4644.0,3941.8,3935.0,3935.0,3935.0,3935.0,3935.0,3935.0,3935.0,3935.0,3935.0,3935.0
N320K40M4N5,4343.0,4343.0,5234.0,4362.4,4343.0,4343.0,4343.0,4343.0,4343.0,4343.0,4343.0,4343.0,4343.0,4343.0
N640K80M4N1,8451.0,8451.0,10359.0,8465.0,8451.0,8451.0,8451.0,8451.0,8451.0,8451.0,8451.0,8451.0,8451.0,8451.0
N640K80M4N2,8288.0,8288.0,9866.0,8301.4,8288.0,8288.0,8288.0,8288.0,8288.0,8288.0,8288.0,8288.0,8288.0,8288.0
N640K80M4N3,8462.0,8462.0,10488.0,8476.2,8462.0,8462.0,8462.0,8462.0,8462.0,8462.0,8462.0,8462.0,8462.0,8462.0
N640K80M4N4,8385.0,8385.0,10175.0,8361.2,8343.0,8343.0,8343.0,8343.0,8343.0,8343.0,8343.0,8343.0,8343.0,8343.0
N640K80M4N5,8427.0,8427.0,10227.0,8451.4,8427.0,8427.0,8427.0,8427.0,8427.0,8427.0,8427.0,8427.0,8427.0,8427.0
